Year,Month,Account ID,Impressions,Spend,Clicks,CTR,ROAS
2020,January,23064045,"2,88,746","$3,518",346,0.12%,$6.30
2020,February,23064045,"5,13,268","$11,654",263,0.05%,$6.02
2020,March,23064045,"5,12,853","$11,654",244,0.05%,$5.82
2020,April,23064045,"5,13,026","$11,654",310,0.06%,$5.76
2020,May,23064045,"94,478","$2,813",126,0.13%,$5.46
2020,June,23064045,"5,12,973","$11,654",235,0.05%,$4.91
2020,July,23064045,"7,69,727","$7,654",303,0.04%,$3.80
2020,August,23064045,"1,83,731","$5,471",210,0.11%,$3.45
2020,September,23064045,"7,64,722","$7,604",467,0.06%,$3.19
2020,October,23064045,"53,72,632","$73,448",1311,0.02%,$2.75
2020,November,23064045,"2,93,955","$8,753",244,0.08%,$2.24
2020,December,23064045,"6,299",$77,155,2.46%,$1.44
2021,January,23064045,"3,24,473","$3,386",275,0.08%,$0.00
2021,February,23064045,"1,59,358","$8,654",210,0.13%,$0.00
2021,March,23064045,"1,29,417","$3,442",203,0.16%,$0.00
2021,April,23064045,"2,74,707","$8,654",256,0.09%,$0.00
2021,May,23064045,"2,199","$3,478",151,6.87%,$0.00
2021,June,23064045,"4,331","$3,538",192,4.43%,$0.00
2021,July,23064045,"1,31,366","$8,654",230,0.18%,$0.00
2021,August,23064045,949,"$8,654",189,19.92%,$0.00
2021,September,23064045,"1,11,698","$4,711",216,0.19%,$0.00
2021,October,23064045,"23,500","$3,657",193,0.82%,$0.00
2021,November,23064045,735,"$4,709",190,25.85%,$0.00
2021,December,23064045,"1,86,370","$3,532",1205,0.65%,$0.00
2022,January,23064045,"5,55,960","$7,387.52","1,594",0.29%,$12.34
2022,February,23064045,"4,90,663","$6,536.74","1,014",0.21%,$11.19
2022,March,23064045,"2,66,076","$4,531.54",240,0.09%,$13.33
2022,April,23064045,"1,06,649","$2,908.14",102,0.10%,$11.97
2022,May,23064045,"96,970","$3,759.65",81,0.08%,$11.28
2022,June,23064045,"65,235","$2,486.33",91,0.14%,$11.74
2022,July,23064045,"60,538","$2,515.51",81,0.13%,$11.40
2022,August,23064045,"40,211","$2,513.84",128,0.32%,$44.84
2022,September,23064045,"35,143","$2,284.13",81,0.23%,$10.44
2022,October,23064045,"35,039","$14,171.45",80,0.23%,$48.39
2022,November,23064045,"34,973","$2,214.09",76,0.22%,$40.75
2022,December,23064045,"29,442","$2,144.06",75,0.25%,$26.53
2023,January,23064045,"24,050","$2,307.32",88,0.37%,$32.66
2023,February,23064045,"19,176","$2,117.39",73,0.38%,$30.17
2023,March,23064045,"17,075","$2,121.23",69,0.40%,$19.94
